,dah,PEM2010_INPUT_DTC_ISO_1,PEM2010_INPUT_NP_1,PEM2010_INPUT_RHOB_1,PEM2010_INPUT_RT_1,PEM2010_INPUT_SWE_1,PEM2010_INPUT_SWT_1,PEM2010_INPUT_VCL_1,WELL
7283,3667.5,101.59286,0.42969298,2.489751,1.103712,1.0,1.0,0.54546845,EBONI-04
7284,3668.0,99.73732,0.42090648,2.4994478,1.3740313,1.0,1.0,0.5386039,EBONI-04
7285,3668.5,97.95876,0.4021058,2.5211997,1.7061794,1.0,1.0,0.5225468,EBONI-04
7286,3669.0,96.34636,0.37945333,2.5110028,2.0851855,1.0,1.0,0.4860819,EBONI-04
7287,3669.5,95.31688,0.34702298,2.4675946,2.6912599,1.0,1.0,0.42488542,EBONI-04
7288,3670.0,95.11646,0.3166821,2.4617531,2.7661202,1.0,1.0,0.3895279,EBONI-04
7289,3670.5,95.66239,0.32510105,2.4957829,2.2470994,1.0,1.0,0.42043367,EBONI-04
7290,3671.0,95.376595,0.348493,2.5105608,2.0766335,1.0,1.0,0.45756197,EBONI-04
7291,3671.5,96.36821,0.38191697,2.5036206,1.949411,1.0,1.0,0.49578047,EBONI-04
7292,3672.0,99.32017,0.42953742,2.499342,1.6065705,1.0,1.0,0.5408563,EBONI-04
7293,3672.5,100.27394,0.44122332,2.5078225,1.4809592,1.0,1.0,0.5590366,EBONI-04
7294,3673.0,98.43127,0.37018353,2.488255,2.3875036,0.9999235,0.999928,0.45948404,EBONI-04
7295,3673.5,95.223885,0.24210632,2.3851848,4.580321,0.915651,0.9221831,0.20282789,EBONI-04
7296,3674.0,96.15217,0.2643642,2.3797035,4.2646503,0.9154643,0.9220311,0.23295842,EBONI-04
7297,3674.5,98.013466,0.3395955,2.4028234,4.1261153,0.7759775,0.8507179,0.3616275,EBONI-04
7298,3675.0,96.62366,0.2763745,2.351375,5.6035914,0.70067894,0.78009593,0.22246449,EBONI-04
7299,3675.5,96.26296,0.2697858,2.398924,4.363733,0.92045164,0.9254152,0.24621949,EBONI-04
7300,3676.0,99.601074,0.394061,2.4856133,2.1311274,0.9999815,0.999983,0.46785203,EBONI-04
7301,3676.5,101.960915,0.46148548,2.5015712,1.367105,1.0,1.0,0.52552205,EBONI-04
